"","t","DELL","SNP","MS","FTSV","NUE","TWTR","NKE"
"2019-11-15",168,55.639999,56.939999,48.990002,10.69,54.950001,29.25,93.040001
"2019-11-18",169,55.57,56,49.029999,10.235,55.459999,29.49,94.18
"2019-11-19",170,56.209999,56.119999,49.330002,10.97,54.799999,29.440001,93.610001
"2019-11-20",171,55.27,56.470001,49.099998,12.05,54.099998,29.17,93.050003
"2019-11-21",172,53.709999,56.990002,48.84,12.19,54.240002,29.790001,92.160004
"2019-11-22",173,53.610001,56.220001,49.25,11.67,55.240002,30.030001,93.339996
"2019-11-25",174,55.060001,57.599998,49.959999,11.95,55.919998,30.540001,92.900002
"2019-11-26",175,53.189999,57.450001,49.41,11.89,56.009998,30.959999,93.330002
"2019-11-27",176,50.32,57.330002,49.779999,12.27,56.400002,31.17,94.139999
"2019-11-29",177,48.490002,55.849998,49.48,12.64,56.360001,30.91,93.489998
"2019-12-02",178,47.720001,56.080002,49.080002,12.95,56.639999,30.42,93.559998
"2019-12-03",179,47.400002,55.139999,48.110001,13.27,55.279999,29.969999,92.459999
"2019-12-04",180,47.68,55.740002,48.84,14.07,55.830002,30,93.720001
"2019-12-05",181,47.34,55.34,49.07,14.14,56.490002,30.040001,95.790001
"2019-12-06",182,47.119999,55.73,49.799999,14.44,57.610001,30.190001,97
"2019-12-09",183,47.650002,55.98,49.599998,30.43,57.75,30.209999,96.629997
"2019-12-10",184,47.360001,55.669998,49.669998,34.654999,57.740002,29.84,97.010002
"2019-12-11",185,47.709999,56.32,49.450001,35.959999,58.119999,30.549999,97.18
"2019-12-12",186,49.5,57.549999,50.689999,38.740002,58.110001,30.299999,97.720001
"2019-12-13",187,49.349998,57.740002,50.240002,35.75,56.470001,30.389999,97.769997
"2019-12-16",188,49.490002,57.810001,50.720001,34.75,56.490002,30.969999,98.809998
"2019-12-17",189,49.93,58.779999,50.900002,35.700001,57.169998,30.700001,99.650002
"2019-12-18",190,50,59.02,50.66,35.299999,57.040001,31.68,100.57
"2019-12-19",191,49.889999,58.5,50.860001,37.490002,56.529999,32.029999,101.150002
"2019-12-20",192,49.619999,58.990002,50.689999,40.880001,56.889999,32.130001,99.959999
