"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"221",33.848282,34.3134,33.421928,33.421928,1215200,33.421928
"222",33.377628,33.776302,33.18383,33.665558,1683900,33.665558
"223",33.39978,33.726467,33.316723,33.687706,2381300,33.687706
"224",33.748615,34.186047,33.69878,34.058693,1007000,34.058693
"225",34.08638,34.169434,33.803986,34.053158,1256600,34.053158
"226",34.025471,34.324474,33.842747,34.064232,1935100,34.064232
"227",34.291252,34.291252,33.942413,34.102989,1856900,34.102989
"228",34.102989,34.180508,33.831673,33.942413,1391500,33.942413
"229",33.953487,34.053158,33.831673,33.887043,754500,33.887043
"230",33.942413,34.889259,33.765228,34.833885,2028600,34.833885
"231",34.71207,34.833885,34.540421,34.734219,1474000,34.734219
"232",34.795128,35.265781,34.717609,35.232559,3412600,35.232559
"233",35.415283,35.454041,35.17165,35.404209,1419300,35.404209
"234",35.409744,35.459579,35.088593,35.232559,1112800,35.232559
"235",35.215946,35.354374,35.110741,35.254707,1038600,35.254707
"236",35.28793,35.542637,35.049835,35.276855,1109200,35.276855
"237",35.470654,35.548172,35.276855,35.448505,1634200,35.448505
"238",35.548172,35.548172,34.889259,35.177189,1133000,35.177189
"239",35.05537,35.348839,34.905869,35.282391,807100,35.282391
"240",35.437431,35.736435,35.382061,35.586933,1254600,35.586933
"241",35.736435,35.786266,35.415283,35.697674,1040400,35.697674
"242",35.708748,35.708748,35.121815,35.354374,1347600,35.354374
"243",35.265781,35.503876,35.138428,35.442966,663500,35.442966
"244",35.553711,35.736435,35.470654,35.653378,792800,35.653378
"245",35.553711,35.819492,35.415283,35.6866,742900,35.6866
"246",35.559246,35.874863,35.39867,35.6866,938000,35.6866
"247",35.354374,35.620155,35.215946,35.503876,950600,35.503876
"248",35.382061,35.437431,34.94463,34.977852,869500,34.977852
"249",34.839424,35.066444,34.734219,34.905869,1422700,34.905869
"250",35.935768,37.735325,35.935768,37.508305,5160200,37.508305
"251",37.519379,37.607975,36.64452,36.661129,1484700,36.661129
